what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349014068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349014120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349022674
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1571349040958
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1571349062466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349066081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349074044
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1571349080066
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1571349091742
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1571349102396
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1571349117180
activated,perspective,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.ui.jpaPerspective",1571349125098
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1571349125146
activated,perspective,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.perspectives.DebuggerPerspective",1571349129781
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1571349135045
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1571349140662
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1571349163849
error,log,,,"Internal Error",1571349245931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349259450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349259959
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1571349289408
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349305096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349305712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1571349314011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1571349323565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1571349333837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1571349355273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349368022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349369439
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1571349384262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349392896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349394781
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1571349411361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1571349437802
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1571349455598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349457735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571349463995
