what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1569084987901
processors,sysinfo,,,"8",1569084987901
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1569084987901
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1569084987901
java.specification.name,sysinfo,,,"Java Platform API Specification",1569084987901
java.specification.vendor,sysinfo,,,"Oracle Corporation",1569084987901
java.specification.version,sysinfo,,,"1.7",1569084987901
java.vendor,sysinfo,,,"Oracle Corporation",1569084987901
java.version,sysinfo,,,"1.7.0_17",1569084987901
java.vm.info,sysinfo,,,"mixed mode",1569084987901
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1569084987901
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1569084987901
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1569084987901
java.vm.specification.version,sysinfo,,,"1.7",1569084987901
java.vm.vendor,sysinfo,,,"Oracle Corporation",1569084987901
java.vm.version,sysinfo,,,"23.7-b01",1569084987901
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1569084988380
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1569084988678
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1569084988718
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1569084988719
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1569084988773
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1569084988811
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1569084988865
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1569084988962
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1569084989023
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1569084989257
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1569084989651
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1569084989717
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1569084990274
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1569084990608
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1569084990836
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1569084990851
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1569084990907
