what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569087284157
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1569087288708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569087288767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569087291224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569087292460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569087393699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1569087393713
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569087399074
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1569087409750
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1569087415444
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1569087416782
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1569087417867
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1569087417966
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1569087420312
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569087423948
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1569087427452
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.SourceView",1569087428849
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.SourceView",1569087428889
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1569087430595
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1569087431470
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569087433079
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1569087433298
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1569087436543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569087447110
