what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334430858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334461478
activated,editor,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor",1571334463791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1571334467474
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1571334501809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1571334504156
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1571334514380
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction",1571334518911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334519288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334520463
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140415,"org.eclipse.datatools.sqltools.result.resultView",1571334522231
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1571334535975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334545393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334740354
activated,editor,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor",1571334740555
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1571334756390
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction",1571334797554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334797897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334798202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334812821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571334853944
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction",1571334867390
