what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1570781866142
started,bundle,org.eclipse.gef,3.7.1.v20110830-1143,"org.eclipse.gef",1570781866212
started,bundle,org.eclipse.draw2d,3.7.1.v20110830-1143,"org.eclipse.draw2d",1570781866323
opened,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1570781867749
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1570781867808
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1570781876822
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1570781876868
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1570781881403
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1570781884051
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140415,"org.eclipse.datatools.sqltools.result.resultView",1570781884851
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1570781990713
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1570781990826
started,bundle,org.eclipse.jpt.common.ui,1.0.0.v201104120000,"org.eclipse.jpt.common.ui",1570781991631
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.I20110201-0800,"org.eclipse.ui.views.properties.tabbed",1570781991931
opened,view,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.ui.jpaDetailsView",1570781991983
opened,view,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.ui.jpaStructureView",1570781992051
activated,perspective,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.ui.jpaPerspective",1570781992094
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1570781992797
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1570781992797
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1570781992881
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782003380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782005330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782006451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782007028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782017045
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782018820
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782018909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782021351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782022798
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782024070
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782024157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782026359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782028432
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782029469
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782029589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782032105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782034797
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1570782038272
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782053818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782055292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782056833
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782057925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782059713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782061053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782061411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782146102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782146112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782152931
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1570782163313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1570782163313
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1570782172379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1570782172379
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1570782198388
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782199974
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1570782200890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1570782211108
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1570782214877
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1570782214953
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782225557
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1570782225557
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1570782230951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782270613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782274283
activated,perspective,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.perspectives.DebuggerPerspective",1570782337151
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782337179
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140415,"org.eclipse.datatools.sqltools.result.resultView",1570782342144
activated,perspective,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.perspectives.EditorPerspective",1570782364482
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782364524
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1570782386806
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140415,"org.eclipse.datatools.sqltools.result.resultView",1570782391892
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782395085
activated,perspective,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.perspectives.DebuggerPerspective",1570782397484
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140415,"org.eclipse.datatools.sqltools.result.resultView",1570782404382
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1570782404434
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1570782407467
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140415,"org.eclipse.datatools.sqltools.result.resultView",1570782413698
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1570782413798
activated,perspective,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.perspectives.EditorPerspective",1570782423836
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1570782423945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782434910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782436793
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1570782436812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1570782436812
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1570782446819
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1570782446874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1570782482617
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction",1570782483259
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140415,"org.eclipse.datatools.sqltools.result.resultView",1570782483749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782483782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782485001
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1570782485100
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1570782508030
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.BookmarkView",1570782520045
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.BookmarkView",1570782520077
started,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.plan",1570782522033
opened,view,org.eclipse.datatools.sqltools.plan,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.plan.planView",1570782522235
activated,view,org.eclipse.datatools.sqltools.plan,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.plan.planView",1570782522247
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1570782529195
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140415,"org.eclipse.datatools.sqltools.result.resultView",1570782529216
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1570782553104
started,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.tabledataeditor",1570782573608
started,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.ui",1570782573904
started,bundle,org.eclipse.emf.ecore.edit,2.7.1.v20120130-0943,"org.eclipse.emf.ecore.edit",1570782574815
started,bundle,org.eclipse.datatools.modelbase.sql.edit,1.0.1.v201002161452,"org.eclipse.datatools.modelbase.sql.edit",1570782574815
started,bundle,org.eclipse.datatools.sqltools.data.core,1.2.0.v201005241300,"org.eclipse.datatools.sqltools.data.core",1570782578636
opened,editor,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor",1570782596050
activated,editor,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor",1570782596173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1570782609775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782624712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570782626374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1570782626657
