what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction",1570784274351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784274665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784274819
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction",1570784304937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784305278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784305498
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction",1570784325278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784325606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784325754
executed,command,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor.ExecuteSelectionAction",1570784354685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784354985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784356150
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140415,"org.eclipse.datatools.sqltools.result.resultView",1570784359248
activated,editor,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor",1570784378745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1570784398054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1570784401235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784418104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784437017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784439369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784458681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784461997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784463992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784464718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784465033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784465565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784465827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784466079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784466333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784468068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784470217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1570784481398
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1570784484995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784607490
started,bundle,org.eclipse.wb.swing,1.8.0.r45x201506110826,"org.eclipse.wb.swing",1570784611658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784618419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1570784618447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784788874
started,bundle,org.eclipse.wb.rcp,1.8.0.r45x201506110827,"org.eclipse.wb.rcp",1570784820533
started,bundle,org.eclipse.wb.swt,1.8.0.r45x201506110825,"org.eclipse.wb.swt",1570784820602
started,bundle,org.eclipse.wb.ercp,1.0.0.r37x201106081556,"org.eclipse.wb.ercp",1570784820618
error,log,,,"Designer [1.8.0.r45x201506110820.201910111437]: Plug-in ""org.eclipse.wb.ercp"" was unable to instantiate class ""org.eclipse.wb.internal.ercp.ToolkitProvider"".",1570784820902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784824140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1570784824149
opened,editor,org.eclipse.wb.core.ui,1.8.0.r45x201506110822,"org.eclipse.wb.core.guiEditor",1570784824317
activated,editor,org.eclipse.wb.core.ui,1.8.0.r45x201506110822,"org.eclipse.wb.core.guiEditor",1570784824390
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1570784833123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1570784842072
