what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.java,1.8.0.r45x201506110821,"org.eclipse.wb.core.java",1569345624423
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569345624962
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1569345625230
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569345625322
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569345633775
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1569345645325
started,bundle,org.eclipse.wb.rcp.databinding,1.8.0.r45x201506110827,"org.eclipse.wb.rcp.databinding",1569345650111
started,bundle,org.eclipse.wb.swing.databinding,1.8.0.r45x201506110826,"org.eclipse.wb.swing.databinding",1569345650406
started,bundle,org.eclipse.wb.core.xml,1.8.0.r45x201506110823,"org.eclipse.wb.core.xml",1569345650734
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569345650940
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569345651048
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1569345651136
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569345658207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345678456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345722848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345739780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345744922
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569345748294
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569345748372
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1569345753626
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1569345753654
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1569345754082
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1569345754126
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1569345754893
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1569345754937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345754993
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345756727
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345757187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345844645
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569345844724
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569345855651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345860258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345861600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345861652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345863470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345867257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345871736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345872103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345881214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569345884635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346053812
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569346057517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346059096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346061966
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569346066897
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569346071721
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569346071800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346075222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346079536
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569346081661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346083740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346085419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346085482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346088405
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569346092142
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569346092366
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569346092441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346096067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346098460
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569346101308
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1569346101603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346104292
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1569346106880
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1569346106880
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1569346107084
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1569346107347
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1569346107435
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569346107902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346107950
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1569346107982
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1569346109060
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569346112149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569346114733
