what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1569088387521
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1569088387521
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1569088387521
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1569088387521
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1569088387522
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1569088387522
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1569088387523
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1569088387523
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1569088387524
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1569088387525
os,sysinfo,,,"win32",1569088387525
arch,sysinfo,,,"x86",1569088387525
ws,sysinfo,,,"win32",1569088387525
locale,sysinfo,,,"en_US",1569088387525
processors,sysinfo,,,"8",1569088387525
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1569088387525
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1569088387525
java.specification.name,sysinfo,,,"Java Platform API Specification",1569088387525
java.specification.vendor,sysinfo,,,"Oracle Corporation",1569088387525
java.specification.version,sysinfo,,,"1.7",1569088387525
java.vendor,sysinfo,,,"Oracle Corporation",1569088387525
java.version,sysinfo,,,"1.7.0_17",1569088387525
java.vm.info,sysinfo,,,"mixed mode",1569088387525
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1569088387525
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1569088387525
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1569088387525
java.vm.specification.version,sysinfo,,,"1.7",1569088387525
java.vm.vendor,sysinfo,,,"Oracle Corporation",1569088387525
java.vm.version,sysinfo,,,"23.7-b01",1569088387525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088394810
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1569088405298
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1569088405302
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1569088405332
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1569088405342
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1569088410018
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1569088410185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088410528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088410548
opened,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088410627
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1569088410627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.newWindow",1569088410653
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1569088412948
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1569088412995
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1569088412999
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1569088413004
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1569088413006
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1569088413010
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1569088413014
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088413019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088413039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088429338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088431579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088433832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088448086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088454259
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1569088466636
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1569088466640
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1569088466648
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1569088466651
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1569088466665
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1569088466668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088471410
opened,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1569088471628
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1569088471656
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1569088471721
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1569088471724
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1569088471726
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1569088471727
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1569088471734
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1569088471752
started,bundle,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.ui",1569088471756
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1569088471757
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1569088471765
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1569088471776
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1569088471793
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1569088471795
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1569088471803
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1569088471820
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569088471940
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1569088472134
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1569088472399
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569088476717
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1569088476735
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1569088476740
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088492137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088492267
started,bundle,org.eclipse.wb.runtime.lib,1.8.0.r45x201506110820,"org.eclipse.wb.runtime.lib",1569088492357
started,bundle,org.eclipse.wb.swt,1.8.0.r45x201506110825,"org.eclipse.wb.swt",1569088492415
started,bundle,org.eclipse.wb.rcp,1.8.0.r45x201506110827,"org.eclipse.wb.rcp",1569088492415
started,bundle,org.eclipse.wb.rcp.nebula,1.8.0.r45x201506110827,"org.eclipse.wb.rcp.nebula",1569088492434
started,bundle,org.eclipse.wb.swing,1.8.0.r45x201506110826,"org.eclipse.wb.swing",1569088492437
started,bundle,org.eclipse.wb.swing.FormLayout,1.8.0.r45x201506110826,"org.eclipse.wb.swing.FormLayout",1569088492444
started,bundle,org.eclipse.wb.xwt,1.8.0.r45x201506110829,"org.eclipse.wb.xwt",1569088492452
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1569088492546
started,bundle,org.eclipse.pde,3.6.100.v201109091335,"org.eclipse.pde",1569088492566
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1569088492599
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1569088492601
started,bundle,org.eclipse.wb.core.databinding,1.8.0.r45x201506110821,"org.eclipse.wb.core.databinding",1569088493592
started,bundle,org.eclipse.wb.ercp,1.0.0.r37x201106081556,"org.eclipse.wb.ercp",1569088493681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088493695
started,bundle,org.eclipse.wb.os,1.8.0.r45x201506110820,"org.eclipse.wb.os",1569088493710
error,log,,,"Designer [1.8.0.r45x201506110820.201909212324]: Plug-in ""org.eclipse.wb.ercp"" was unable to instantiate class ""org.eclipse.wb.internal.ercp.ToolkitProvider"".",1569088493720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088495454
started,bundle,org.eclipse.wb.rcp.swing2swt,1.8.0.r45x201506110827,"org.eclipse.wb.rcp.swing2swt",1569088495554
started,bundle,org.eclipse.wb.swing.jsr296,1.8.0.r45x201506110826,"org.eclipse.wb.swing.jsr296",1569088496630
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.8.0.r45x201506110826,"org.eclipse.wb.swing.MigLayout.lib",1569088497159
started,bundle,org.eclipse.wb.swing.MigLayout,1.8.0.r45x201506110826,"org.eclipse.wb.swing.MigLayout",1569088497160
started,bundle,org.eclipse.wb.swing.java6,1.8.0.r45x201506110826,"org.eclipse.wb.swing.java6",1569088497162
started,bundle,org.eclipse.wb.layout.group,1.8.0.r45x201506110824,"org.eclipse.wb.layout.group",1569088497164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088497369
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1569088500830
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569088510220
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1569088513242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088516815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088523905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1569088523926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088530635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088563117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1569088563129
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088563258
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088563331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088572270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088600269
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1569088602023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1569088602188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1569088602750
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569088614269
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088624647
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088638401
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1569088644297
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1569088644298
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1569088644300
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569088661321
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088661654
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088661714
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088683675
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1569088686426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088688134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088689416
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1569088695738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088697440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088697802
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1569088706346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088708934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088709884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088710001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088711677
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1569088714213
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1569088725826
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1569088766729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088771809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088772505
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569088783451
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088798894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088816695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088837010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088842672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088855386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088860209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088860923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1569088860933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088866973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088868268
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1569088868643
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1569088868656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088869044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088880338
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569088892530
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1569088898123
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1569088898124
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1569088898136
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1569088898136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088907039
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1569088910321
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1569088910564
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1569088910728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088911322
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1569088911382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1569088911382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088921592
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569088923013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088923059
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1569088923068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1569088923068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569088961232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089309895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089355671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089392120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1569089392143
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569089392430
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569089392755
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569089394898
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569089395159
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569089399149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089402545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089422859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089441423
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1569089470221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089470699
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1569089470899
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1569089471148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089480628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089555813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089565960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089576359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089582314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089585520
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1569089608291
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1569089608339
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1569089608355
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1569089608380
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1569089608436
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1569089608540
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1569089608542
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1569089608579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089631253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089650527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089679857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089692261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089711502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089718321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089759702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089764639
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569089781971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089842477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089860854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089944263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569089992711
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569090007994
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1569090010871
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569090010872
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569090012714
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569090031232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090036474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090063773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090071854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090076121
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569090076174
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569090084634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090092416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090154030
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1569090156913
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1569090162734
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569090169587
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1569090173006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090174788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090233355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090241717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090243380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090243461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090244575
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1569090251631
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1569090254766
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1569090256089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090258854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090267366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569090272428
