what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569159088371
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159152212
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159159734
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159167617
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569159194144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569159198185
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1569159204571
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1569159204629
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1569159204735
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1569159207492
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1569159207679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569159208613
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1569159208662
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159209851
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1569159244207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569159248317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569159250572
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159250687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1569159254546
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159256615
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159271699
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159278288
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1569159294264
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159304573
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1569159341516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569159343687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1569159352463
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1569159352480
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159352687
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1569159352979
